timestamp,zone,hour,day_of_week,is_weekend,temp_c,zone_population,zone_ev_users,zone_chargers,zone_grid_capacity,ev_demand_kw
2025-11-08T16:00:00,Whitefield,0,5,1,22.89,285000,4200,18,8500,2019
2025-11-08T17:00:00,Whitefield,1,5,1,22.89,285000,4200,18,8500,1919
2025-11-08T18:00:00,Whitefield,2,5,1,22.89,285000,4200,18,8500,1966
2025-11-08T19:00:00,Whitefield,3,5,1,22.89,285000,4200,18,8500,2115
2025-11-08T20:00:00,Whitefield,4,5,1,22.89,285000,4200,18,8500,1989
2025-11-08T21:00:00,Whitefield,5,5,1,22.89,285000,4200,18,8500,2160
2025-11-08T22:00:00,Whitefield,6,5,1,22.89,285000,4200,18,8500,2606
2025-11-08T23:00:00,Whitefield,7,5,1,22.89,285000,4200,18,8500,3319
2025-11-09T00:00:00,Whitefield,8,5,1,22.89,285000,4200,18,8500,5351
2025-11-09T01:00:00,Whitefield,9,5,1,22.89,285000,4200,18,8500,5359
2025-11-09T02:00:00,Whitefield,10,5,1,22.89,285000,4200,18,8500,3207
2025-11-09T03:00:00,Whitefield,11,5,1,22.89,285000,4200,18,8500,3119
2025-11-09T04:00:00,Whitefield,12,5,1,22.89,285000,4200,18,8500,3092
2025-11-09T05:00:00,Whitefield,13,5,1,22.89,285000,4200,18,8500,2941
2025-11-09T06:00:00,Whitefield,14,5,1,22.89,285000,4200,18,8500,2938
2025-11-09T07:00:00,Whitefield,15,5,1,22.89,285000,4200,18,8500,3025
2025-11-09T08:00:00,Whitefield,16,5,1,22.89,285000,4200,18,8500,2911
2025-11-09T09:00:00,Whitefield,17,5,1,22.89,285000,4200,18,8500,3260
2025-11-09T10:00:00,Whitefield,18,5,1,22.89,285000,4200,18,8500,6496
2025-11-09T11:00:00,Whitefield,19,5,1,22.89,285000,4200,18,8500,6268
2025-11-09T12:00:00,Whitefield,20,5,1,22.89,285000,4200,18,8500,6361
2025-11-09T13:00:00,Whitefield,21,5,1,22.89,285000,4200,18,8500,5792
2025-11-09T14:00:00,Whitefield,22,5,1,22.89,285000,4200,18,8500,3422
2025-11-09T15:00:00,Whitefield,23,5,1,22.89,285000,4200,18,8500,2637
2025-11-08T16:00:00,Koramangala,0,5,1,22.89,178000,3100,12,6200,1136
2025-11-08T17:00:00,Koramangala,1,5,1,22.89,178000,3100,12,6200,1047
2025-11-08T18:00:00,Koramangala,2,5,1,22.89,178000,3100,12,6200,1105
2025-11-08T19:00:00,Koramangala,3,5,1,22.89,178000,3100,12,6200,1162
2025-11-08T20:00:00,Koramangala,4,5,1,22.89,178000,3100,12,6200,1094
2025-11-08T21:00:00,Koramangala,5,5,1,22.89,178000,3100,12,6200,981
2025-11-08T22:00:00,Koramangala,6,5,1,22.89,178000,3100,12,6200,1428
2025-11-08T23:00:00,Koramangala,7,5,1,22.89,178000,3100,12,6200,1832
2025-11-09T00:00:00,Koramangala,8,5,1,22.89,178000,3100,12,6200,2758
2025-11-09T01:00:00,Koramangala,9,5,1,22.89,178000,3100,12,6200,2925
2025-11-09T02:00:00,Koramangala,10,5,1,22.89,178000,3100,12,6200,1810
2025-11-09T03:00:00,Koramangala,11,5,1,22.89,178000,3100,12,6200,1637
2025-11-09T04:00:00,Koramangala,12,5,1,22.89,178000,3100,12,6200,1617
2025-11-09T05:00:00,Koramangala,13,5,1,22.89,178000,3100,12,6200,1522
2025-11-09T06:00:00,Koramangala,14,5,1,22.89,178000,3100,12,6200,1683
2025-11-09T07:00:00,Koramangala,15,5,1,22.89,178000,3100,12,6200,1722
2025-11-09T08:00:00,Koramangala,16,5,1,22.89,178000,3100,12,6200,1548
2025-11-09T09:00:00,Koramangala,17,5,1,22.89,178000,3100,12,6200,1885
2025-11-09T10:00:00,Koramangala,18,5,1,22.89,178000,3100,12,6200,3494
2025-11-09T11:00:00,Koramangala,19,5,1,22.89,178000,3100,12,6200,3444
2025-11-09T12:00:00,Koramangala,20,5,1,22.89,178000,3100,12,6200,3381
2025-11-09T13:00:00,Koramangala,21,5,1,22.89,178000,3100,12,6200,3361
2025-11-09T14:00:00,Koramangala,22,5,1,22.89,178000,3100,12,6200,1689
2025-11-09T15:00:00,Koramangala,23,5,1,22.89,178000,3100,12,6200,1456
2025-11-08T16:00:00,Electronic City,0,5,1,22.89,195000,3800,14,9200,2181
2025-11-08T17:00:00,Electronic City,1,5,1,22.89,195000,3800,14,9200,1935
2025-11-08T18:00:00,Electronic City,2,5,1,22.89,195000,3800,14,9200,1984
2025-11-08T19:00:00,Electronic City,3,5,1,22.89,195000,3800,14,9200,2071
2025-11-08T20:00:00,Electronic City,4,5,1,22.89,195000,3800,14,9200,2100
2025-11-08T21:00:00,Electronic City,5,5,1,22.89,195000,3800,14,9200,1966
2025-11-08T22:00:00,Electronic City,6,5,1,22.89,195000,3800,14,9200,2643
2025-11-08T23:00:00,Electronic City,7,5,1,22.89,195000,3800,14,9200,3293
2025-11-09T00:00:00,Electronic City,8,5,1,22.89,195000,3800,14,9200,5253
2025-11-09T01:00:00,Electronic City,9,5,1,22.89,195000,3800,14,9200,5322
2025-11-09T02:00:00,Electronic City,10,5,1,22.89,195000,3800,14,9200,3081
2025-11-09T03:00:00,Electronic City,11,5,1,22.89,195000,3800,14,9200,3053
2025-11-09T04:00:00,Electronic City,12,5,1,22.89,195000,3800,14,9200,3158
2025-11-09T05:00:00,Electronic City,13,5,1,22.89,195000,3800,14,9200,2778
2025-11-09T06:00:00,Electronic City,14,5,1,22.89,195000,3800,14,9200,2893
2025-11-09T07:00:00,Electronic City,15,5,1,22.89,195000,3800,14,9200,2904
2025-11-09T08:00:00,Electronic City,16,5,1,22.89,195000,3800,14,9200,2796
2025-11-09T09:00:00,Electronic City,17,5,1,22.89,195000,3800,14,9200,3294
2025-11-09T10:00:00,Electronic City,18,5,1,22.89,195000,3800,14,9200,5977
2025-11-09T11:00:00,Electronic City,19,5,1,22.89,195000,3800,14,9200,5895
2025-11-09T12:00:00,Electronic City,20,5,1,22.89,195000,3800,14,9200,6412
2025-11-09T13:00:00,Electronic City,21,5,1,22.89,195000,3800,14,9200,5912
2025-11-09T14:00:00,Electronic City,22,5,1,22.89,195000,3800,14,9200,3308
2025-11-09T15:00:00,Electronic City,23,5,1,22.89,195000,3800,14,9200,2903
2025-11-08T16:00:00,Hebbal,0,5,1,22.89,142000,2400,8,5800,744
2025-11-08T17:00:00,Hebbal,1,5,1,22.89,142000,2400,8,5800,844
2025-11-08T18:00:00,Hebbal,2,5,1,22.89,142000,2400,8,5800,699
2025-11-08T19:00:00,Hebbal,3,5,1,22.89,142000,2400,8,5800,743
2025-11-08T20:00:00,Hebbal,4,5,1,22.89,142000,2400,8,5800,803
2025-11-08T21:00:00,Hebbal,5,5,1,22.89,142000,2400,8,5800,821
2025-11-08T22:00:00,Hebbal,6,5,1,22.89,142000,2400,8,5800,1022
2025-11-08T23:00:00,Hebbal,7,5,1,22.89,142000,2400,8,5800,1202
